CERT,label,NAME,CITY,PSTALP,fail_date,QBFASSET,region,size_bucket,n_filings
34430,Centennial Bank (UT 2010),CENTENNIAL BANK,OGDEN,UT,2010-03-05,212839,West,$100M to $1B,20
27126,Sun American Bank (FL 2010),SUN AMERICAN BANK,BOCA RATON,FL,2010-03-05,535724,South,$100M to $1B,20
34976,Waterfield Bank (MD 2010),WATERFIELD BANK,GERMANTOWN,MD,2010-03-05,155566,South,$100M to $1B,20
58071,Libertypointe Bank (NY 2010),LIBERTYPOINTE BANK,NEW YORK,NY,2010-03-11,216500,Northeast,$100M to $1B,17
58182,Old Southern Bank (FL 2010),OLD SOUTHERN BANK,ORLANDO,FL,2010-03-12,336390,South,$100M to $1B,15
29561,Statewide Bank (LA 2010),STATEWIDE BANK,COVINGTON,LA,2010-03-12,243215,South,$100M to $1B,20
27096,The Park Avenue Bank (NY 2010),THE PARK AVENUE BANK,NEW YORK,NY,2010-03-12,520146,Northeast,$100M to $1B,20
33535,Advanta Bank Corp. (UT 2010),ADVANTA BANK CORP.,DRAPER,UT,2010-03-19,1525931,West,$1B to $10B,20
18806,American National Bank (OH 2010),AMERICAN NATIONAL BANK,PARMA,OH,2010-03-19,70318,Midwest,Under $100M,20
33989,Appalachian Community Bank (GA 2010),APPALACHIAN COMMUNITY BANK,ELLIJAY,GA,2010-03-19,1010075,South,$1B to $10B,20
10054,Bank of Hiawassee (GA 2010),BANK OF HIAWASSEE,HIAWASSEE,GA,2010-03-19,377779,South,$100M to $1B,20
58104,Century Security Bank (GA 2010),CENTURY SECURITY BANK,DULUTH,GA,2010-03-19,96535,South,Under $100M,16
24957,First Lowndes Bank (AL 2010),FIRST LOWNDES BANK,FORT DEPOSIT,AL,2010-03-19,137175,South,$100M to $1B,20
8221,State Bank of Aurora (MN 2010),STATE BANK OF AURORA,AURORA,MN,2010-03-19,28159,Midwest,Under $100M,20
57060,Desert Hills Bank (AZ 2010),DESERT HILLS BANK,PHOENIX,AZ,2010-03-26,496552,West,$100M to $1B,20
34684,Key West Bank (FL 2010),KEY WEST BANK,KEY WEST,FL,2010-03-26,88031,South,Under $100M,20
57399,Mcintosh Commercial Bank (GA 2010),MCINTOSH COMMERCIAL BANK,CARROLLTON,GA,2010-03-26,363405,South,$100M to $1B,20
34678,Unity National Bank (GA 2010),UNITY NATIONAL BANK,CARTERSVILLE,GA,2010-03-26,300590,South,$100M to $1B,20
34242,Beach First National Bank (SC 2010),BEACH FIRST NATIONAL BANK,MYRTLE BEACH,SC,2010-04-09,590024,South,$100M to $1B,20
57724,Americanfirst Bank (FL 2010),AMERICANFIRST BANK,CLERMONT,FL,2010-04-16,104034,South,$100M to $1B,20
26619,Butler Bank (MA 2010),BUTLER BANK,LOWELL,MA,2010-04-16,245534,Northeast,$100M to $1B,20
21521,City Bank (WA 2010),CITY BANK,LYNNWOOD,WA,2010-04-16,981913,West,$100M to $1B,20
28886,First Federal Bank of North Florida (FL 2010),FIRST FEDERAL BANK OF NORTH FLORIDA,PALATKA,FL,2010-04-16,440122,South,$100M to $1B,20
23876,Innovative Bank (CA 2010),INNOVATIVE BANK,OAKLAND,CA,2010-04-16,266816,West,$100M to $1B,20
34878,Lakeside Community Bank (MI 2010),LAKESIDE COMMUNITY BANK,STERLING HEIGHTS,MI,2010-04-16,49173,Midwest,Under $100M,20
24067,Riverside National Bank of Florida (FL 2010),RIVERSIDE NATIONAL BANK OF FLORIDA,FORT PIERCE,FL,2010-04-16,3393818,South,$1B to $10B,20
33493,Tamalpais Bank (CA 2010),TAMALPAIS BANK,SAN RAFAEL,CA,2010-04-16,611504,West,$100M to $1B,20
3735,"Amcore Bank, National Association (IL 2010)","AMCORE BANK, NATIONAL ASSOCIATION",ROCKFORD,IL,2010-04-23,3066240,Midwest,$1B to $10B,20
22853,Broadway Bank (IL 2010),BROADWAY BANK,CHICAGO,IL,2010-04-23,1059194,Midwest,$1B to $10B,20
34658,Citizens Bank & Trust Company of Chicago (IL 2010),CITIZENS BANK & TRUST COMPANY OF CHICAGO,CHICAGO,IL,2010-04-23,73490,Midwest,Under $100M,20
30600,Lincoln Park Savings Bank (IL 2010),LINCOLN PARK SAVINGS BANK,CHICAGO,IL,2010-04-23,194618,Midwest,$100M to $1B,20
34821,New Century Bank (IL 2010),NEW CENTURY BANK,CHICAGO,IL,2010-04-23,447239,Midwest,$100M to $1B,20
10888,Peotone Bank and Trust Company (IL 2010),PEOTONE BANK AND TRUST COMPANY,PEOTONE,IL,2010-04-23,130165,Midwest,$100M to $1B,20
58429,Wheatland Bank (IL 2010),WHEATLAND BANK,NAPERVILLE,IL,2010-04-23,441694,Midwest,$100M to $1B,13
17792,Bc National Banks (MO 2010),BC NATIONAL BANKS,BUTLER,MO,2010-04-30,52204,Midwest,Under $100M,20
30005,Cf Bancorp (MI 2010),CF BANCORP,PORT HURON,MI,2010-04-30,1599122,Midwest,$1B to $10B,20
58362,Champion Bank (MO 2010),CHAMPION BANK,CREVE COEUR,MO,2010-04-30,195510,Midwest,$100M to $1B,15
27150,Eurobank (PR 2010),EUROBANK,SAN JUAN,PR,2010-04-30,2453138,South,$1B to $10B,20
22710,Frontier Bank (WA 2010),FRONTIER BANK,EVERETT,WA,2010-04-30,3250734,West,$1B to $10B,20
32185,r-g Premier Bank of Puerto Rico (PR 2010),R-G PREMIER BANK OF PUERTO RICO,HATO REY,PR,2010-04-30,5681177,South,$1B to $10B,20
31027,Westernbank Puerto Rico (PR 2010),WESTERNBANK PUERTO RICO,MAYAGUEZ,PR,2010-04-30,10797345,South,Over $10B,20
35517,1st Pacific Bank of California (CA 2010),1st PACIFIC BANK OF CALIFORNIA,SAN DIEGO,CA,2010-05-07,335798,West,$100M to $1B,20
16476,Access Bank (MN 2010),ACCESS BANK,CHAMPLIN,MN,2010-05-07,31996,Midwest,Under $100M,20
14246,The Bank of Bonifay (FL 2010),THE BANK OF BONIFAY,BONIFAY,FL,2010-05-07,242871,South,$100M to $1B,20
57697,Towne Bank of Arizona (AZ 2010),TOWNE BANK OF ARIZONA,MESA,AZ,2010-05-07,120246,West,$100M to $1B,20
18117,Midwest Bank and Trust Company (IL 2010),MIDWEST BANK AND TRUST COMPANY,ELMWOOD PARK,IL,2010-05-14,3172915,Midwest,$1B to $10B,20
35586,New Liberty Bank (MI 2010),NEW LIBERTY BANK,PLYMOUTH,MI,2010-05-14,111239,Midwest,$100M to $1B,20
35114,Satilla Community Bank (GA 2010),SATILLA COMMUNITY BANK,SAINT MARYS,GA,2010-05-14,135688,South,$100M to $1B,20
34255,Southwest Community Bank (MO 2010),SOUTHWEST COMMUNITY BANK,SPRINGFIELD,MO,2010-05-14,100659,Midwest,$100M to $1B,20
57735,Pinehurst Bank (MN 2010),PINEHURST BANK,ST. PAUL,MN,2010-05-21,61215,Midwest,Under $100M,20
57360,Bank of Florida - Southeast (FL 2010),BANK OF FLORIDA - SOUTHEAST,FORT LAUDERDALE,FL,2010-05-28,595318,South,$100M to $1B,20
35106,Bank of Florida - Southwest (FL 2010),BANK OF FLORIDA - SOUTHWEST,NAPLES,FL,2010-05-28,640894,South,$100M to $1B,20
