CERT,NAME,CITY,STALP,ASSET
21843,Mizuho Bank (USA),New York,NY,4050082
57044,"California Bank of Commerce, National Association",San Diego,CA,4046537
24920,Woori America Bank,New York,NY,4041585
27774,Gate City Bank,Fargo,ND,4028761
30076,"Spencer Savings Bank, SLA",Elmwood Park,NJ,4025456
32296,Union Savings Bank,Cincinnati,OH,4010571
15614,West Bank,West Des Moines,IA,4010344
15815,Central Bank & Trust Co.,Lexington,KY,3992204
58481,First Bank,Hamilton,NJ,3970761
14028,First Guaranty Bank,Hammond,LA,3956090
58255,River Bank & Trust,Prattville,AL,3915224
32779,Bank of Marin,Novato,CA,3913468
57417,Commercial Bank of California,Irvine,CA,3899410
22559,Bravera Bank,Dickinson,ND,3884241
58316,"Investar Bank, National Association",Baton Rouge,LA,3865992
4705,Security Bank of Kansas City,Kansas City,KS,3821766
12383,Carrollton Bank,Carrollton,IL,3820112
27054,Sumitomo Mitsui Trust Bank (U.S.A.) Limited,Hoboken,NJ,3808127
1213,"Cornerstone Capital Bank, SSB",Houston,TX,3798501
8136,Independence Bank of Kentucky,Owensboro,KY,3794060
33646,The Bank of East Asia Ltd.,New York,NY,3791183
35278,"Capital Bank, National Association",Rockville,MD,3756419
22597,Bank of the Sierra,Porterville,CA,3751904
17159,Bank of Utah,Ogden,UT,3725841
32974,Gulf Coast Bank and Trust Company,New Orleans,LA,3714223
22257,Colony Bank,Fitzgerald,GA,3705164
23030,Community West Bank,Fresno,CA,3697225
1399,Frandsen Bank & Trust,Lonsdale,MN,3688224
19008,Parkway Bank and Trust Company,Harwood Heights,IL,3666225
11666,D. L. Evans Bank,Burley,ID,3660167
13012,First Community Bank,Bluefield,VA,3644798
34562,ENCORE BANK,Little Rock,AR,3588697
57348,SouthEast Bank,Farragut,TN,3578112
12839,First Farmers Bank & Trust Co.,Converse,IN,3551779
6085,First PREMIER Bank,Sioux Falls,SD,3550585
28094,"Home Bank, National Association",Lafayette,LA,3543498
27052,"St. Charles Bank & Trust Company, National Association",Saint Charles,IL,3542800
34533,First Community Bank,Batesville,AR,3501204
22134,Cache Valley Bank,Logan,UT,3497348
34618,"Macatawa Bank, National Association",Holland,MI,3479542
5969,The Farmers & Merchants State Bank,Archbold,OH,3479335
34011,"Village Bank and Trust, National Association",Arlington Heights,IL,3466631
30470,Manasquan Bank,Manasquan,NJ,3459562
35530,First Carolina Bank,Rocky Mount,NC,3418297
24347,Lone Star National Bank,Pharr,TX,3409023
57463,PCB Bank,Los Angeles,CA,3395119
26725,Banco do Brasil Americas,Miami,FL,3393780
57368,Bankwell Bank,New Canaan,CT,3364622
34980,Red River Bank,Alexandria,LA,3345447
30895,"Fidelity Bank, National Association",Wichita,KS,3345441
33216,Northrim Bank,Anchorage,AK,3336853
15091,Lake Ridge Bank,Middleton,WI,3334131
34120,Bank of Ann Arbor,Ann Arbor,MI,3329445
8870,BankFirst Financial Services,Columbus,MS,3323022
58314,"Old Plank Trail Community Bank, National Association",New Lenox,IL,3321035
18190,Union Savings Bank,Danbury,CT,3302130
10988,Stearns Bank National Association,Saint Cloud,MN,3296457
4028,First Dakota National Bank,Yankton,SD,3296280
31189,"Ponce Bank, National Association",Bronx,NY,3289470
34603,"MVB Bank, Inc",Fairmont,WV,3277152
19600,"Academy Bank, National Association",Kansas City,MO,3275311
26484,TruNorth Bank,Peabody,MA,3270641
35541,BCB Community Bank,Bayonne,NJ,3268333
